Date,2015-04-25T09:48:48.246979
subject, age,gender,how often do you consume oysters,are you the primary shopper,what is your profession,other box for profession,political affliation,other box for political affiliatin,household income,highest level of eduation,how often do you go to the beach each year,are you a first time oyster consumer,in a month how often do you eat seafood,in a month how oftedn do you eat at a restaurant,when at a restaurant percent seafood vs other food (0 = all other 100 = all seafood),how oftend do you eat at home vs a restaurant,are you the primary seafood shopper,how often do you catch your own seafood,how important is location to oyster choice,for oysters from Delaware Bay I would...,for oysters from Delaware Inland bays I would...,how do you usually prepare your oysters,other box for usual oyster prep,how important is oyster species (9 = impmortant 0 = not important),how important is oyster shell size,how important is oyster meat size,how important is oyster appearance,how important is the saltiness of oysters,how important is the smell of oysters,how important is the oyster shell color,how important is the oyster meat color,how important is the oyster harvest location
1096, 56, male, 0, yes, Business, , liberal, , $200000-$249999, Bachelor's degree, >9 times per year, No, 6, 8, 80, 67, Yes, 1, 9, pay the same as other locations, pay the same as other locations, Fried, , 1, 1, 5, 1, 7, 9, 1, 7, 7
1265, 19, female, 0, no, Agriculture, , liberal, , $50000-$74999, Some college credit, 3-5 times per year, Yes, 1-2, 1-2, 14, 65, No, 1, 5, pay the same as other locations, pay the same as other locations, Grilled, , 5, 5, 7, 3, 6, 6, 4, 8, 8
1300, 21, female, 1-2, no, Academia, , moderate, , $100000-$149999, High school graduate, 1-2 times per year, No, 0 to 1 time, 1-2 times, 70, 90, No, 7, 7, pay less than other locations, pay less than other locations, Grilled, , 2, 6, 7, 6, 8, 8, 5, 7, 8
1098, 21, female, 0, yes, Business, , liberal, , $35000-$49999, Bachelor's degree, 1-2 times per year, Yes, 5 days, 10 times, 41, 95, Yes, 1, 3, pay less than other locations, pay less than other locations, Fried, , 1, 7, 7, 3, 7, 9, 3, 7, 5
1380, 33, female, >9, yes, Other, , liberal, , $100000-$149999, Bachelor's degree, 1-2 times per year, No, 6, 2, 50, 20, Yes, 1, 2, pay the same as other locations, pay the same as other locations, Raw on the half shell, , 2, 4, 4, 6, 6, 8, 2, 3, 2
875, 55, female, 3-5, yes, Business, , conservative, , $75000-$99999, Bachelor's degree, 6-9 times per year, No, 6, 2, 80, 32, No, 9, 7, pay less than other locations, pay the same as other locations, Fried, , 5, 6, 6, 7, 5, 8, 5, 8, 8
1148, 47, male, 3-5, yes, Business, , other, , $100000-$149999, Some college credit, 1-2 times per year, No, 5, 4, 5, 95, Yes, 7, 8, pay the same as other locations, pay the same as other locations, Grilled, , 5, 6, 7, 5, 6, 7, 5, 6, 6
916, 21, male, 0, no, Academia, , conservative, , $200000-$249999, Some college credit, >9 times per year, Yes, 5, 4, 10, 35, No, 7, 4, pay the same as other locations, pay the same as other locations, Other, haven't consumed, 2, 3, 3, 7, 6, 7, 6, 6, 8
1234, 22, female, 0, yes, Other, , moderate, , $35000-$49999, Bachelor's degree, 1-2 times per year, Yes, 1, 4, 2, 0, No, 2, 5, pay more than other locations, pay the same as other locations, Other, never had before, 8, 5, 7, 8, 6, 9, 3, 7, 8
756, 61, male, 3-5, yes, Other, , conservative, , $50000-$74999, High school graduate, >9 times per year, No, 5, 2, 15, 9, Yes, 9, 5, pay more than other locations, pay more than other locations, Fried, , 9, 7, 7, 2, 8, 9, 3, 9, 7
1195, 21, female, 1-2, no, Business, , liberal, , $100000-$149999, Some college credit, 6-9 times per year, No, 1 time, 4 times, 10, 10, Yes, 1, 8, pay less than other locations, pay less than other locations, Raw on the half shell, , 5, 8, 8, 8, 6, 7, 5, 7, 8
864, 39, male, 1-2, yes, Business, , moderate, , $75000-$99999, Bachelor's degree, 6-9 times per year, No, 20.00, 20, 9, 18, Yes, 5, 5, pay the same as other locations, pay the same as other locations, Raw on the half shell, , 4, 5, 6, 6, 4, 8, 5, 7, 5
816, 26, female, 1-2, yes, Other, , other, , $100000-$149999, Some college credit, >9 times per year, No, 4, 6, 40, 50, Yes, 1, 9, pay more than other locations, pay more than other locations, Raw on the half shell, , 5, 5, 5, 5, 5, 9, 5, 8, 5
1332, 70, female, 1-2, yes, , , liberal, , $75000-$99999, Graduate degree/Professional, >9 times per year, No, 4, 2, 82, 70, Yes, 2, 8, pay less than other locations, pay less than other locations, Raw on the half shell, , 7, 7, 7, 7, 7, 9, 5, 9, 8
1182, 52, , 0, yes, Other, , liberal, , $100000-$149999, Bachelor's degree, 3-5 times per year, Yes, 3, 1, 25, 25, Yes, 3, 4, pay the same as other locations, pay less than other locations, Fried, , 3, 4, 8, 3, 5, 5, 5, 5, 8
923, 18, female, 6-9, no, Agriculture, , liberal, , $50000-$74999, Some college credit, 3-5 times per year, No, 3 times, half of month, 0, 0, No, 1, 2, pay less than other locations, pay the same as other locations, Raw in a shooter, , 5, 9, 9, 7, 8, 6, 4, 8, 6
752, 54, female, 1-2, yes, Academia, , conservative, , $75000-$99999, Bachelor's degree, 3-5 times per year, No, 6, 2, 92, 79, Yes, 2, 5, pay the same as other locations, pay the same as other locations, Grilled, , 5, 5, 9, 5, 5, 8, 5, 5, 5
902, 40, male, 3-5, yes, Other, , moderate, , $25000-$34999, Associate degree, >9 times per year, No, 10 times, 5 times, 65, 50, Yes, 1, 6, pay the same as other locations, pay the same as other locations, Raw on the half shell, , 6, 6, 7, 8, 7, 9, 8, 9, 8
1235, 44, female, 3-5, yes, government, , liberal, , $75000-$99999, Graduate degree/Professional, 3-5 times per year, No, 6, 6, 50, 80, Yes, 1, 5, pay more than other locations, pay more than other locations, Grilled, , 3, 3, 6, 3, 5, 7, 2, 5, 5
714, 60, female, 3-5, yes, Other, , moderate, , $75000-$99999, Associate degree, 3-5 times per year, No, 10, 10, 89, 74, Yes, 1, 2, pay the same as other locations, pay the same as other locations, Raw on the half shell, , 5, 6, 6, 6, 6, 9, 5, 7, 5
730, 19, female, 0, no, Other, , conservative, , $50000-$74999, Some college credit, >9 times per year, Yes, 3, 6, 40, 10, No, 1, 2, pay the same as other locations, pay the same as other locations, Other, never had, 1, 6, 8, 3, 7, 9, 2, 9, 3
725, 20, female, 0, no, Other, , liberal, , $100000-$149999, Some college credit, 3-5 times per year, Yes, 5 times, 4 times, 25, 11, No, 1, 6, pay the same as other locations, pay the same as other locations, Grilled, , 2, 6, 6, 8, 7, 9, 7, 7, 5
726, , female, 1-2, no, Other, , liberal, , $100000-$149999, Some college credit, 6-9 times per year, No, three times, six times, 30, 80, No, 2, 2, pay less than other locations, pay less than other locations, Fried, , 1, 1, 5, 2, 7, 9, 3, 7, 3
1026, 20, female, 1-2, no, Other, , liberal, , $35000-$49999, Some college credit, >9 times per year, Yes, 5-7 times, 5-7 times, 80, 85, No, 1, 9, pay the same as other locations, pay the same as other locations, Fried, , 7, 6, 8, 7, 7, 9, 6, 9, 2
1007, 20, female, 0, no, Academia, , moderate, , Less than $10000, Some college credit, 1-2 times per year, Yes, once, 15, 0, 18, No, 1, 5, pay the same as other locations, pay the same as other locations, Fried, , 7, 6, 6, 4, 4, 6, 6, 6, 3
802, 83, female, 3-5, yes, Other, , conservative, , $35000-$49999, Bachelor's degree, 6-9 times per year, No, 3 times, 4 times, 100, 48, Yes, 1, 9, pay the same as other locations, pay the same as other locations, Fried, , 9, 9, 9, 9, 8, 9, 1, 9, 9
1223, 59, male, 3-5, yes, Other, , liberal, , $75000-$99999, Bachelor's degree, 3-5 times per year, No, 8, 1, 12, 88, Yes, 2, 9, pay less than other locations, pay the same as other locations, Raw on the half shell, , 6, 4, 4, 4, 6, 8, 4, 5, 6
1280, 20, female, 0, no, Other, , liberal, , $150000-$199999, Some college credit, 1-2 times per year, Yes, 2, 3, 5, 0, No, 1, 7, pay the same as other locations, pay the same as other locations, Other, I don't know - I've never had oysters, 8, 6, 7, 3, 7, 8, 5, 7, 8
784, 20, female, 3-5, yes, Academia, , liberal, , $25000-$34999, Some college credit, >9 times per year, No, twice, 10, 10, 11, No, 1, 8, pay the same as other locations, pay the same as other locations, Grilled, , 2, 3, 5, 1, 5, 4, 4, 5, 6
996, 27, female, 0, yes, Other, , , , $15000-$24999, Graduate degree/Professional, 1-2 times per year, Yes, 1, 5, 5, 5, No, 1, 1, pay the same as other locations, pay the same as other locations, Fried, , 1, 1, 1, 5, 9, 9, 5, 9, 5
980, 22, male, 1-2, yes, Academia, , liberal, , Less than $10000, Some college credit, 1-2 times per year, No, 3-4 times, 5-6 times, 35, 75, No, 1, 1, pay the same as other locations, pay the same as other locations, Fried, , 6, 4, 7, 3, 4, 6, 4, 8, 1
997, 30, male, 0, yes, Academia, , moderate, , $75000-$99999, Bachelor's degree, >9 times per year, Yes, 2, 3, 50, 80, Yes, 5, 5, pay more than other locations, pay more than other locations, Fried, , 3, 3, 9, 8, 5, 9, 9, 9, 7
891, 20, female, 1-2, yes, Academia, , liberal, , Less than $10000, High school graduate, 3-5 times per year, Yes, 1, 10, 9, 77, No, 4, 9, pay more than other locations, pay less than other locations, Raw on the half shell, , 1, 5, 9, 7, 6, 8, 8, 7, 9
862, 21, female, 3-5, yes, Agriculture, , moderate, , $10000-$14999, Some college credit, 3-5 times per year, No, Twice a week, once a week, 57, 68, No, 3, 5, pay less than other locations, pay less than other locations, Fried, , 4, 3, 5, 5, 5, 4, 5, 6, 7
1023, 18, female, 0, no, Academia, , moderate, , $25000-$34999, Some college credit, 3-5 times per year, Yes, 6 times, 15 times, 29, 80, No, 1, 1, pay the same as other locations, pay the same as other locations, Raw in a shooter, , 5, 5, 8, 9, 8, 5, 8, 5, 8
722, 63, female, 1-2, yes, Other, , liberal, , $50000-$74999, Bachelor's degree, 1-2 times per year, No, 5, 2, 30, 68, Yes, 1, 8, pay the same as other locations, pay the same as other locations, Other, stew, 5, 5, 7, 5, 5, 9, 5, 5, 5
953, 44, female, 1-2, yes, Academia, , liberal, , $100000-$149999, Graduate degree/Professional, 3-5 times per year, No, 2, 8, 25, 85, Yes, 1, 6, pay the same as other locations, pay the same as other locations, Fried, , 5, 4, 8, 6, 5, 7, 5, 6, 5
880, 20, male, 6-9, no, Other, , conservative, , , Some college credit, >9 times per year, No, 3 times, 3 times, 70, 35, No, 8, 8, pay the same as other locations, pay the same as other locations, Raw on the half shell, , 7, 7, 7, 3, 8, 8, 3, 6, 7
1019, 37, male, 3-5, yes, Agriculture, , moderate, , $50000-$74999, Some college credit, 6-9 times per year, No, 5, 3, 65, 76, Yes, 2, 5, pay the same as other locations, pay the same as other locations, Fried, , 4, 6, 6, 2, 5, 9, 4, 6, 5
1224, 38, male, 3-5, yes, Business, , conservative, , $150000-$199999, Graduate degree/Professional, 3-5 times per year, No, 2 times, 12, 30, 20, Yes, 2, 4, pay the same as other locations, pay the same as other locations, Fried, , 5, 5, 5, 5, 5, 5, 5, 5, 5
720, 57, female, 1-2, yes, Academia, , conservative, , $150000-$199999, Graduate degree/Professional, 1-2 times per year, No, daily, 4 times a month, 86, 17, Yes, 1, 1, pay the same as other locations, pay the same as other locations, Fried, , 1, 1, 1, 1, 1, 9, 1, 1, 1
1200, 60, male, >9, yes, Business, , moderate, , $75000-$99999, Some college credit, 1-2 times per year, No, 6, 1, 0, 76, Yes, 1, 8, pay the same as other locations, pay the same as other locations, Raw on the half shell, , 7, 7, 9, 9, 9, 9, 4, 9, 8
984, 21, female, 1-2, no, Other, , liberal, , Less than $10000, Bachelor's degree, 3-5 times per year, No, 15, 4, 33, 20, No, 1, 2, pay more than other locations, pay more than other locations, Raw in a shooter, , 6, 5, 6, 4, 6, 8, 4, 6, 6
799, 24, female, 1-2, yes, Academia, , liberal, , $15000-$24999, Graduate degree/Professional, 1-2 times per year, No, 4, 8, 3, 10, No, 1, 5, pay the same as other locations, pay the same as other locations, Fried, , 5, 5, 7, 6, 5, 9, 5, 6, 5
729, 25, male, 1-2, yes, Academia, , moderate, , $15000-$24999, Bachelor's degree, 1-2 times per year, No, 6, 1, 10, 10, Yes, 2, 7, pay the same as other locations, pay less than other locations, Fried, , 6, 7, 8, 6, 5, 9, 6, 7, 7
1106, 21, female, 3-5, no, Other, , liberal, , $75000-$99999, Bachelor's degree, 3-5 times per year, No, once as week, 3 times, 60, 50, No, 1, 3, pay the same as other locations, pay the same as other locations, Raw on the half shell, , 2, 6, 7, 7, 8, 7, 6, 8, 4
734, 57, male, 1-2, no, Business, , liberal, , $150000-$199999, Bachelor's degree, 1-2 times per year, No, 8, 1, 50, 20, No, 1, 9, pay less than other locations, pay less than other locations, Other, steamed, 5, 6, 7, 5, 7, 9, 5, 7, 9
706, 22, male, 6-9, no, Business, , liberal, , $200000-$249999, Bachelor's degree, >9 times per year, No, 2 times, 6 times, 20, 20, No, 2, 1, pay the same as other locations, pay the same as other locations, Raw on the half shell, , 1, 8, 9, 7, 8, 8, 3, 6, 5
894, 22, female, 1-2, no, Academia, , moderate, , Less than $10000, Bachelor's degree, 3-5 times per year, Yes, 5, 3, 74, 36, No, 1, 5, pay the same as other locations, pay the same as other locations, Fried, , 5, 5, 9, 5, 3, 5, 5, 5, 5
831, 19, female, 1-2, no, Academia, , liberal, , Less than $10000, Some college credit, 3-5 times per year, Yes, Often, Moderate, 40, 85, No, 2, 5, pay the same as other locations, pay the same as other locations, Fried, , 5, 5, 7, 8, 7, 7, 5, 7, 6
1150, 63, male, 1-2, yes, government, , , , $75000-$99999, Bachelor's degree, 1-2 times per year, No, 6, 3, 80, 10, Yes, 3, 8, pay less than other locations, pay less than other locations, Grilled, , 1, 1, 6, 5, 9, 5, 1, 1, 9
1122, 22, female, 1-2, yes, Academia, , liberal, , Less than $10000, Some college credit, >9 times per year, No, 1-2 times, 2-3 times, 18, 86, Yes, 1, 4, pay the same as other locations, pay the same as other locations, Fried, , 2, 2, 2, 2, 1, 7, 2, 7, 7
1204, 22, male, 1-2, no, Academia, , conservative, , $15000-$24999, Associate degree, 0 times per year, No, 2, 4, 30, 35, No, 1, 8, pay the same as other locations, pay the same as other locations, Raw in a shooter, , 7, 7, 7, 7, 6, 6, 6, 6, 5
1005, 38, female, 0, yes, Other, , liberal, , Less than $10000, High school graduate, 3-5 times per year, No, 2, 5, 10, 25, Yes, 1, 7, pay the same as other locations, pay more than other locations, Other, po' boy, 2, 2, 8, 6, 6, 9, 3, 6, 8
758, 26, female, 3-5, yes, Other, , liberal, , Less than $10000, Associate degree, 3-5 times per year, No, 2, 2, 22, 90, Yes, 2, 1, pay the same as other locations, pay the same as other locations, Fried, , 1, 2, 9, 6, 5, 7, 5, 6, 5
1288, 23, female, 1-2, no, Agriculture, , liberal, , $50000-$74999, Bachelor's degree, 3-5 times per year, No, 7, 7, 68, 65, No, 1, 6, pay less than other locations, pay the same as other locations, Fried, , 9, 3, 7, 1, 3, 4, 1, 4, 9
885, 21, female, 1-2, yes, Other, , moderate, , $100000-$149999, Some college credit, 1-2 times per year, No, 3, 2, 10, 10, Yes, 1, 1, pay the same as other locations, pay the same as other locations, Raw on the half shell, , 1, 1, 7, 1, 6, 6, 1, 1, 1
709, 19, female, 6-9, no, Academia, , conservative, , Less than $10000, Some college credit, >9 times per year, No, once a week, Once a week, 25, 25, No, 5, 5, pay the same as other locations, pay the same as other locations, Fried, , 1, 1, 6, 1, 5, 9, 3, 7, 1
994, 69, female, 1-2, yes, Business, , liberal, , $100000-$149999, Graduate degree/Professional, 1-2 times per year, No, 1-2, 8, 50, 26, Yes, 1, 7, pay less than other locations, pay more than other locations, Fried, , 7, 7, 7, 7, 4, 8, 6, 6, 8
751, 26, female, 1-2, yes, Other, , other, , $15000-$24999, Graduate degree/Professional, 1-2 times per year, No, 3, twice a week, 10, 3, Yes, 1, 4, pay the same as other locations, pay the same as other locations, Grilled, , 2, 5, 6, 7, 6, 7, 5, 6, 4
881, 19, male, 1-2, no, Business, , conservative, , $150000-$199999, Some college credit, >9 times per year, No, 3, 5, 40, 70, No, 2, 5, pay the same as other locations, pay the same as other locations, Fried, , 5, 6, 7, 7, 7, 9, 5, 7, 4
829, 18, female, 0, no, Other, , moderate, , $150000-$199999, Some college credit, 1-2 times per year, Yes, once per week, 3 times, 30, 60, No, 1, 3, pay the same as other locations, pay the same as other locations, Fried, , 2, 5, 6, 8, 6, 6, 5, 5, 5
1009, 45, female, 0, yes, Academia, , conservative, , $50000-$74999, Graduate degree/Professional, 1-2 times per year, Yes, 8, 2, 37, 90, Yes, 1, 1, pay more than other locations, pay more than other locations, Grilled, , 1, 1, 1, 1, 1, 1, 1, 1, 1
701273934, 21, male, 3-5, no, Academia, , liberal, , $75000-$99999, Some college credit, 3-5 times per year, No, once, twice  a week, 11, 22, No, 1, 3, pay the same as other locations, pay the same as other locations, Raw in a shooter, , 1, 3, 9, 4, 7, 7, 3, 7, 3
705, 31, male, 1-2, yes, government, , conservative, , $25000-$34999, High school graduate, 3-5 times per year, No, once, twice, 50, 70, No, 5, 8, pay less than other locations, pay less than other locations, Fried, , 1, 7, 9, 3, 2, 1, 2, 3, 8
1131, 19, female, 3-5, no, Academia, , liberal, , $250000 and above, Some college credit, 1-2 times per year, No, 1-2 times a week, once a week, 15, 20, No, 1, 6, pay more than other locations, pay the same as other locations, Fried, , 5, 6, 7, 2, 5, 3, 3, 5, 7
945, 18, female, 0, no, Other, , liberal, , $250000 and above, Associate degree, 6-9 times per year, Yes, once a week, once every two weeks, 75, 60, No, 1, 4, pay the same as other locations, pay the same as other locations, Fried, , 2, 2, 5, 6, 4, 8, 3, 7, 3
1130, 44, female, 1-2, no, government, , liberal, , $100000-$149999, Graduate degree/Professional, 6-9 times per year, No, 1, 5, 2, 2, No, 1, 1, pay the same as other locations, pay more than other locations, Fried, , 1, 5, 7, 8, 5, 9, 6, 9, 8
978, 18, female, 0, no, Other, , liberal, , $100000-$149999, Some college credit, 1-2 times per year, Yes, 7ish, not often (2 times), 30, 25, No, 1, 6, pay the same as other locations, pay the same as other locations, Fried, , 3, 4, 7, 6, 7, 6, 6, 6, 8
850, 19, male, 6-9, no, Other, , liberal, , $75000-$99999, Some college credit, 3-5 times per year, No, 6, 2, 85, 20, No, 5, 5, pay more than other locations, pay less than other locations, Raw on the half shell, , 5, 6, 7, 7, 6, 6, 6, 6, 6
777, 22, male, 0, no, government, , liberal, , $100000-$149999, Some college credit, 1-2 times per year, Yes, Rarely, Often, 25, 80, No, 1, 9, pay the same as other locations, pay less than other locations, Grilled, , 5, 9, 9, 7, 2, 6, 5, 7, 7
830, 74, male, 1-2, yes, Other, , conservative, , $50000-$74999, Graduate degree/Professional, >9 times per year, No, twice, onece, 76, 87, Yes, 1, 5, pay less than other locations, pay the same as other locations, Fried, , 5, 7, 7, 4, 5, 8, 5, 6, 6
1217, 21, female, 0, no, Academia, , moderate, , $75000-$99999, Associate degree, 1-2 times per year, Yes, 10, 1, 5, 5, No, 2, 2, pay the same as other locations, pay the same as other locations, Fried, , 1, 1, 2, 1, 5, 6, 1, 5, 1
914, 44, female, >9, yes, Academia, , conservative, , $100000-$149999, Graduate degree/Professional, >9 times per year, No, 10 times, 5 times, 75, 50, Yes, 1, 6, pay more than other locations, pay more than other locations, Raw on the half shell, , 6, 6, 7, 7, 8, 9, 6, 9, 6
961, 21, female, 1-2, yes, Academia, , liberal, , Less than $10000, Some college credit, 3-5 times per year, Yes, 1-2 times, 6-7 times, 15, 5, Yes, 1, 1, pay the same as other locations, pay the same as other locations, Fried, , 1, 9, 9, 8, 7, 7, 3, 7, 1
1206, 22, female, 0, yes, Academia, , moderate, , $10000-$14999, Bachelor's degree, 1-2 times per year, Yes, 0, 1, 27, 86, Yes, 2, 7, pay less than other locations, pay less than other locations, Grilled, , 7, 4, 7, 4, 7, 6, 5, 7, 7
998, 24, male, 0, yes, Other, , liberal, , $200000-$249999, Bachelor's degree, 1-2 times per year, Yes, 3-5days, 15-20days, 10, 11, No, 1, 8, pay the same as other locations, pay the same as other locations, Fried, , 5, 5, 8, 7, 8, 7, 8, 8, 5
966, 30, female, 3-5, yes, Agriculture, , liberal, , $50000-$74999, Graduate degree/Professional, 1-2 times per year, No, 3-5 meals, 4 times, 50, 75, No, 2, 7, pay more than other locations, pay more than other locations, Raw on the half shell, , 6, 6, 7, 5, 6, 8, 3, 7, 8
793, 31, female, 1-2, yes, Academia, , liberal, , $100000-$149999, Graduate degree/Professional, 3-5 times per year, No, 0, 2, 2, 100, Yes, 1, 3, pay the same as other locations, pay the same as other locations, Raw on the half shell, , 2, 5, 8, 7, 6, 5, 5, 6, 3
899, 22, male, 1-2, no, Other, , conservative, , $75000-$99999, Bachelor's degree, >9 times per year, No, 3, 6, 30, 80, No, 7, 1, pay the same as other locations, pay the same as other locations, Fried, , 6, 6, 7, 8, 8, 6, 3, 9, 5
929, 20, female, 6-9, no, Other, , liberal, , $25000-$34999, Some college credit, 3-5 times per year, No, 2-3 times, 2-3 times, 70, 20, No, 1, 7, pay the same as other locations, pay the same as other locations, Raw on the half shell, , 1, 1, 8, 1, 8, 8, 6, 8, 6
1208, 21, male, 3-5, no, Academia, , conservative, , Less than $10000, Bachelor's degree, 6-9 times per year, No, 2-3, 10 days, 25, 100, Yes, 2, 6, pay less than other locations, pay less than other locations, Raw on the half shell, , 2, 5, 8, 6, 7, 6, 6, 9, 7
883, 19, female, 1-2, no, Other, , moderate, , $35000-$49999, Some college credit, 6-9 times per year, No, Once, 3-4 times, 10, 90, No, 1, 9, pay the same as other locations, pay the same as other locations, Fried, , 6, 3, 7, 9, 9, 9, 3, 9, 7
1102, 49, female, 3-5, yes, Business, , moderate, , $150000-$199999, Associate degree, >9 times per year, No, 8, 20, 80, 65, Yes, 1, 7, pay less than other locations, pay less than other locations, Fried, , 1, 1, 8, 1, 7, 9, 1, 9, 9
867, 19, male, 0, no, Academia, , liberal, , $35000-$49999, High school graduate, 1-2 times per year, Yes, 5, 10, 30, 60, No, 1, 5, pay the same as other locations, pay the same as other locations, Fried, , 5, 5, 5, 5, 6, 5, 5, 5, 5
819, 21, female, 1-2, no, Academia, , moderate, , $100000-$149999, Bachelor's degree, 3-5 times per year, No, once, 4, 10, 100, No, 2, 5, pay more than other locations, pay more than other locations, Fried, , 2, 4, 7, 6, 7, 9, 5, 9, 7
983, 24, female, 6-9, yes, Other, , moderate, , $15000-$24999, Bachelor's degree, 1-2 times per year, No, 4, 15, 10, 10, Yes, 1, 1, pay the same as other locations, pay the same as other locations, Other, steamed, 1, 5, 9, 1, 5, 9, 1, 5, 1
934, 59, male, 6-9, no, Business, , moderate, , $200000-$249999, Graduate degree/Professional, >9 times per year, No, 8, 8, 50, 75, No, 1, 9, pay less than other locations, pay less than other locations, Raw on the half shell, , 2, 2, 4, 1, 4, 8, 1, 2, 6
1203, 59, female, 1-2, yes, Academia, , liberal, , $250000 and above, Graduate degree/Professional, >9 times per year, No, 4-6, 4-6, 70, 50, Yes, 1, 8, pay the same as other locations, pay the same as other locations, Grilled, , 5, 5, 5, 5, 5, 9, 5, 5, 5
815, 23, female, 1-2, no, Agriculture, , liberal, , $100000-$149999, Bachelor's degree, 3-5 times per year, No, 3, 5, 24, 71, No, 1, 6, pay the same as other locations, pay the same as other locations, Fried, , 5, 6, 7, 5, 4, 6, 4, 7, 7
863, 59, male, 6-9, no, Business, , liberal, , $250000 and above, Graduate degree/Professional, 3-5 times per year, No, 6, 4, 50, 50, No, 1, 3, pay the same as other locations, pay the same as other locations, Raw on the half shell, , 3, 2, 5, 3, 6, 8, 2, 6, 4
1004, 20, female, 3-5, no, Academia, , moderate, , $50000-$74999, Associate degree, 1-2 times per year, No, 5, 2, 50, 50, No, 1, 7, pay the same as other locations, pay the same as other locations, Raw on the half shell, , 5, 5, 5, 5, 5, 9, 5, 9, 5
1154, 18, female, 1-2, no, Academia, , liberal, , Less than $10000, Some college credit, >9 times per year, No, twice, 8 times, 36, 60, No, 1, 6, pay the same as other locations, pay the same as other locations, Grilled, , 3, 3, 6, 4, 6, 6, 3, 6, 6
