Date,2015-04-25T09:48:48.246979
subject, age,gender,how often do you consume oysters,are you the primary shopper,what is your profession,other box for profession,political affliation,other box for political affiliatin,household income,highest level of eduation,how often do you go to the beach each year,are you a first time oyster consumer,in a month how often do you eat seafood,in a month how oftedn do you eat at a restaurant,when at a restaurant percent seafood vs other food (0 = all other 100 = all seafood),how oftend do you eat at home vs a restaurant,are you the primary seafood shopper,how often do you catch your own seafood,how important is location to oyster choice,for oysters from Delaware Bay I would...,for oysters from Delaware Inland bays I would...,how do you usually prepare your oysters,other box for usual oyster prep,how important is oyster species (9 = impmortant 0 = not important),how important is oyster shell size,how important is oyster meat size,how important is oyster appearance,how important is the saltiness of oysters,how important is the smell of oysters,how important is the oyster shell color,how important is the oyster meat color,how important is the oyster harvest location
970, 21, female, 1-2, yes, Academia, , , , Less than $10000, Some college credit, 3-5 times per year, No, once, six, 20, 78, Yes, 1, 1, pay the same as other locations, pay the same as other locations, Raw on the half shell, , 1, 8, 8, 8, 8, 5, 9, 9, 2
821, 20, female, 1-2, no, Agriculture, , liberal, , $50000-$74999, Bachelor's degree, 3-5 times per year, No, 3, 8, 68, 15, No, 2, 3, pay less than other locations, pay less than other locations, Raw on the half shell, , 3, 8, 8, 9, 6, 9, 7, 9, 3
1010, 18, male, 6-9, no, Other, , conservative, , Less than $10000, Some college credit, 3-5 times per year, No, 3 times , 1-2 times , 70, 65, No, 6, 5, pay less than other locations, pay less than other locations, Raw on the half shell, , 7, 6, 7, 5, 6, 7, 5, 7, 7
702, 28, male, 6-9, yes, Academia, , conservative, , $15000-$24999, Graduate degree/Professional, 3-5 times per year, No, 2, 16, 4, 1, Yes, 1, 1, pay the same as other locations, pay the same as other locations, Grilled, , 1, 3, 3, 3, 5, 7, 5, 5, 3
741, 37, male, 1-2, no, Business, , moderate, , $200000-$249999, Graduate degree/Professional, 3-5 times per year, No, 4, 8, 15, 20, No, 1, 8, pay less than other locations, pay less than other locations, Raw on the half shell, , 9, 9, 9, 1, 6, 6, 1, 2, 8
937, 18, female, 0, no, Other, , liberal, , $50000-$74999, High school graduate, 1-2 times per year, Yes, 5, 6, 60, 75, No, 1, 1, pay the same as other locations, pay the same as other locations, Grilled, , 1, 3, 6, 7, 5, 6, 3, 7, 3
1173, 21, female, 1-2, no, Academia, , moderate, , $200000-$249999, High school graduate, 1-2 times per year, No, once or twice, 15 days, 5, 90, No, 1, 1, pay the same as other locations, pay the same as other locations, Fried, , 1, 1, 7, 3, 5, 6, 3, 8, 2
789, 23, female, 1-2, no, Other, , , , $25000-$34999, Some college credit, 3-5 times per year, No, 1x a month, 2-3x , 40, 30, Yes, 1, 7, pay the same as other locations, pay the same as other locations, Raw on the half shell, , 6, 4, 4, 3, 4, 7, 4, 4, 6
1101, 20, male, 0, no, Other, , moderate, , $100000-$149999, Some college credit, 0 times per year, Yes, once, 1-2 times, 15, 4, No, 1, 1, pay the same as other locations, pay the same as other locations, Fried, , 1, 1, 1, 1, 1, 1, 1, 1, 1
813, 22, male, 1-2, no, Academia, , liberal, , $100000-$149999, Some college credit, 3-5 times per year, No, 10, 1-2, 60, 75, No, 1, 3, pay less than other locations, pay less than other locations, Raw on the half shell, , 6, 4, 5, 6, 8, 9, 3, 8, 5
1013, 55, female, 1-2, yes, Other, , conservative, , $50000-$74999, Associate degree, 1-2 times per year, No, 4, 5, 77, 62, Yes, 1, 7, pay more than other locations, pay the same as other locations, Fried, , 4, 4, 7, 7, 7, 9, 7, 8, 6
712, 40, female, 0, yes, Academia, , moderate, , $35000-$49999, Bachelor's degree, 1-2 times per year, Yes, 1, 6, 5, 100, No, 1, 1, pay the same as other locations, pay the same as other locations, Other, , 1, 1, 1, 1, 1, 1, 1, 1, 1
1025, 64, female, 3-5, yes, Agriculture, , liberal, , $75000-$99999, Bachelor's degree, 1-2 times per year, No, 12, 2, 40, 50, Yes, 1, 3, pay the same as other locations, pay the same as other locations, Raw on the half shell, , 6, 4, 6, 7, 7, 5, 5, 5, 5
1157, 60, male, 3-5, no, Other, , moderate, , $150000-$199999, Graduate degree/Professional, >9 times per year, No, 4, 7, 10, 10, Yes, 5, 6, pay the same as other locations, pay the same as other locations, Fried, , 5, 6, 7, 5, 5, 5, 5, 6, 8
703, 39, male, 1-2, yes, Other, , liberal, , $100000-$149999, Bachelor's degree, 3-5 times per year, No, 4, 4, 12, 82, Yes, 2, 5, pay the same as other locations, pay the same as other locations, Raw on the half shell, , 6, 5, 6, 5, 5, 6, 5, 5, 5
1272, 19, female, 1-2, no, Academia, , other, , $50000-$74999, Some college credit, 3-5 times per year, No, less than once, 4 times a month, 4, 100, No, 1, 5, pay less than other locations, pay less than other locations, Grilled, , 5, 5, 6, 6, 7, 9, 7, 8, 5
1207, 27, female, 3-5, yes, government, , liberal, , $35000-$49999, Bachelor's degree, >9 times per year, No, never, 5, 10, 11, Yes, 2, 9, pay more than other locations, pay less than other locations, Raw on the half shell, , 8, 5, 4, 7, 7, 9, 5, 8, 9
918, 21, female, 0, no, Other, , moderate, , $50000-$74999, Some college credit, 3-5 times per year, Yes, once, twice, 50, 70, No, 2, 5, pay the same as other locations, pay the same as other locations, Fried, , 5, 5, 5, 5, 5, 5, 5, 5, 5
1172, 25, female, 1-2, yes, Academia, , liberal, , $25000-$34999, Graduate degree/Professional, 1-2 times per year, No, every week, every week, 81, 80, No, 1, 5, pay more than other locations, pay the same as other locations, Grilled, , 5, 7, 7, 1, 9, 7, 2, 5, 7
1020, 21, female, 0, no, Other, , moderate, , Less than $10000, High school graduate, >9 times per year, Yes, 10, 20, 20, 61, No, 2, 9, pay the same as other locations, pay the same as other locations, Raw on the half shell, , 5, 5, 5, 5, 5, 5, 5, 5, 5
1186, 22, female, 3-5, yes, Academia, , liberal, , Less than $10000, Bachelor's degree, >9 times per year, No, 10, 3, 75, 50, Yes, 1, 7, pay less than other locations, pay less than other locations, Raw on the half shell, , 5, 7, 6, 5, 5, 6, 5, 8, 6
1213, 22, male, 1-2, no, government, , liberal, , $35000-$49999, Bachelor's degree, 3-5 times per year, No, 5 times, 10 times, 60, 65, No, 1, 1, pay the same as other locations, pay the same as other locations, Grilled, , 3, 6, 6, 6, 7, 7, 6, 6, 4
768, 21, female, 1-2, yes, Other, , liberal, , Less than $10000, Some college credit, 3-5 times per year, No, 4, 5, 71, 62, Yes, 1, 1, pay the same as other locations, pay the same as other locations, Grilled, , 1, 3, 6, 6, 4, 7, 4, 7, 3
853, 22, male, 1-2, no, Academia, , moderate, , Less than $10000, Bachelor's degree, 3-5 times per year, No, 4-5 times, 10-12 times, 12, 55, No, 1, 6, pay the same as other locations, pay the same as other locations, Raw on the half shell, , 7, 4, 6, 5, 5, 7, 2, 3, 4
859, 20, female, 0, no, Other, , liberal, , $100000-$149999, Some college credit, >9 times per year, Yes, 5 days, 5 days, 15, 20, No, 1, 7, pay the same as other locations, pay the same as other locations, Grilled, , 3, 3, 6, 7, 6, 8, 6, 8, 9
773, 24, female, 1-2, yes, Academia, , liberal, , $15000-$24999, Graduate degree/Professional, 3-5 times per year, No, once or twice, 3-5, 20, 85, No, 5, 5, pay less than other locations, pay less than other locations, Fried, , 5, 3, 7, 3, 7, 9, 4, 6, 9
